,question,answer
0,Peelsoff 0,"Sum of digits: 0 = 0 
Answer: 0"
1,Peelsoff 1,"Sum of digits: 1 = 1 
Answer: 1"
2,Peelsoff 4,"Sum of digits: 4 = 4 
Answer: 4"
3,Peelsoff 5,"Sum of digits: 5 = 5 
Answer: 5"
4,Peelsoff 8,"Sum of digits: 8 = 8 
Answer: 8"
5,Peelsoff 10,"Sum of digits: 1 + 0 = 1 
Answer: 1"
6,Peelsoff 100,"Sum of digits: 1 + 0 + 0 = 1 
Answer: 1"
7,Peelsoff 158,"Sum of digits: 1 + 5 + 8 = 14 
Answer: 14"
8,Peelsoff 171,"Sum of digits: 1 + 7 + 1 = 9 
Answer: 9"
9,Peelsoff 282,"Sum of digits: 2 + 8 + 2 = 12 
Answer: 12"
10,Peelsoff 333,"Sum of digits: 3 + 3 + 3 = 9 
Answer: 9"
11,Peelsoff 349,"Sum of digits: 3 + 4 + 9 = 16 
Answer: 16"
12,Peelsoff 354,"Sum of digits: 3 + 5 + 4 = 12 
Answer: 12"
13,Peelsoff 500,"Sum of digits: 5 + 0 + 0 = 5 
Answer: 5"
14,Peelsoff 519,"Sum of digits: 5 + 1 + 9 = 15 
Answer: 15"
15,Peelsoff 625,"Sum of digits: 6 + 2 + 5 = 13 
Answer: 13"
16,Peelsoff 683,"Sum of digits: 6 + 8 + 3 = 17 
Answer: 17"
17,Peelsoff 733,"Sum of digits: 7 + 3 + 3 = 13 
Answer: 13"
18,Peelsoff 789,"Sum of digits: 7 + 8 + 9 = 24 
Answer: 24"
19,Peelsoff 799,"Sum of digits: 7 + 9 + 9 = 25 
Answer: 25"
20,Peelsoff 921,"Sum of digits: 9 + 2 + 1 = 12 
Answer: 12"
21,Peelsoff 925,"Sum of digits: 9 + 2 + 5 = 16 
Answer: 16"
22,Peelsoff 937,"Sum of digits: 9 + 3 + 7 = 19 
Answer: 19"
23,Peelsoff 1000,"Sum of digits: 1 + 0 + 0 + 0 = 1 
Answer: 1"
24,Peelsoff 1001,"Sum of digits: 1 + 0 + 0 + 1 = 2 
Answer: 2"
25,Peelsoff 1973,"Sum of digits: 1 + 9 + 7 + 3 = 20 
Answer: 20"
26,Peelsoff 2178,"Sum of digits: 2 + 1 + 7 + 8 = 18 
Answer: 18"
27,Peelsoff 2219,"Sum of digits: 2 + 2 + 1 + 9 = 14 
Answer: 14"
28,Peelsoff 2317,"Sum of digits: 2 + 3 + 1 + 7 = 13 
Answer: 13"
29,Peelsoff 2396,"Sum of digits: 2 + 3 + 9 + 6 = 20 
Answer: 20"
30,Peelsoff 4175,"Sum of digits: 4 + 1 + 7 + 5 = 17 
Answer: 17"
31,Peelsoff 4473,"Sum of digits: 4 + 4 + 7 + 3 = 18 
Answer: 18"
32,Peelsoff 5755,"Sum of digits: 5 + 7 + 5 + 5 = 22 
Answer: 22"
33,Peelsoff 5961,"Sum of digits: 5 + 9 + 6 + 1 = 21 
Answer: 21"
34,Peelsoff 5971,"Sum of digits: 5 + 9 + 7 + 1 = 22 
Answer: 22"
35,Peelsoff 6285,"Sum of digits: 6 + 2 + 8 + 5 = 21 
Answer: 21"
